公告縣市,地區,溪流名稱,封溪範圍,封溪時間,公告字號
新北市,雙溪區,除下列區域開放垂釣、撈蝦、徒手捕捉（仍禁止其它採捕方式），其餘流域嚴禁任何方式採捕。（含釣魚、網捕）、放流（含放生、棄養）水產動植物：。➢牡丹溪：主流。。➢雙溪：牡丹溪平林溪匯流處 <=>貢寮區界。,除下列區域開放垂釣、撈蝦、徒手捕捉（仍禁止其它採捕方式），其餘流域嚴禁任何方式採捕。（含釣魚、網捕）、放流（含放生、棄養）水產動植物：。➢牡丹溪：主流。。➢雙溪：牡丹溪平林溪匯流處 <=>貢寮區界。,自115年1月1日起至117年12月31日止,新北府農林字第11510149051號
桃園市,蘆竹區,茄苳溪,蘆竹鄉南竹路茄苳溪橋至茄苳溪、南崁溪交匯口水域禁止使用網具(流刺網、投網)採捕魚類,103/12/25起,府農漁字第10502096741號
桃園市,大園區,老街溪,大園區老街溪全流域（含支流）至出海口止之河段，禁止使用任何方式採捕體長8公分以上鰻魚。,103/12/25起,府農漁字第10502096742號
新竹縣,竹北市,鳳山溪,"鳳山溪下游自竹北市中華路鳳山溪橋(24°51'8.3""N，121°0'14.8""E)起至出海口（拔子窟北端水泥河堤終點；24°51'24.1""N，120°56'22.2""E）止之河段，禁止使用任何方式採捕8cm以上鰻魚及禁止以流刺網及八卦網等漁具採捕其他水產動植物",111/12/6至114/12/31止,府農牧字第1114015726A號
新竹縣,芎林鄉,鹿寮坑溪,"自宮前橋(24°45'13.35""N，121°8'29.7""E)起至龍華村與五龍村交界處(24°44'19.76""N，121°7'46.4""E)。。禁止使用任何方式(含垂釣)採捕水產動物。",110/10/14-114/12/31,府農牧字第1100378667A號函
新竹縣,尖石鄉,錦屏溪,自小錦屏野溪溫泉瀑布(北緯24度38分50.2秒；東經121度12分14.1秒)起至梅花溪與錦屏溪匯流處(北緯24度40分23.2秒；東經121度12分34.3秒)止。。禁止使用任何方式(含垂釣)獵捕水產動物。,114/10/30-118/12/31,府農牧字第1144015260號函
新竹市,北區,頭前溪,新竹市北區頭前溪舊社大橋以上河段禁止以刺網、八卦網採捕水產動物,自106/5/2起,府產漁字第10600683731號
新竹市,,鹽港溪,自中隘橋至出海口止之河段全年禁止捕撈鰻魚,自102/5/9起,府產漁字第10200566531號
苗栗縣,獅潭鄉,新店溪,新店溪一橋至新和橋段，包括支流大東勢溪、小東勢溪及鄰近向東牌野溪共約十八公里，全面禁止採捕。,94/1/1起,府農漁字第09500856972號
苗栗縣,獅潭鄉,老田寮溪,自本縣明德水庫壩址至後龍溪及老田寮溪匯流口全長約5公里。全面禁止以網具類漁具(含定置漁網漁具)採捕水產動物。,自100年12月07起,府農漁字第1000248392B號
苗栗縣,南庒郷,蓬萊溪（東河）,南庄鄉東河村中興橋以上東河溪及其支流共約八十公里，全年實施保護。,94/11/28起,府農漁字第09401282962號
苗栗縣,南庒郷,蓬萊溪(南河)、東河,南庄鄉西村西溪橋以上東河溪及其支流共約86公里,96/10/25起,府農漁字第09601566262號
苗栗縣,南庒郷,蓬萊溪(南河)、東河,南庄鄉西村西溪橋以上蓬萊溪(南河)、八卦力溪及其支流共約21公里，禁止使用任何方式(含垂釣)採捕水產動植物。,96/10/25起,府農漁字第09601566263號
苗栗縣,南庒郷,蓬萊溪,南庒鄉南江村長崎下以上蓬萊溪(南河)、八卦力溪及支流共約15公里,99/3/5起,府農漁字第09900385272號
苗栗縣,三義鄉,龍騰溪,三義鄉龍騰村龍騰溪智祿橋上下游各500公尺範圍，禁止使用任何方式(含垂釣)採捕水產動植物。,100年10月6日起,府農漁字第1000204169B號
苗栗縣,南庄鄉、大湖鄉、三義鄉(修正河流封溪範圍),中港溪、後龍溪及西湖溪,1.中港溪(含南庄溪):自本縣南庄鄉南河溪及東河溪匯流點至台13甲線德照橋以上，全長約27公里；。2.後龍溪(上下游段):自台一線公路後龍溪橋以上至大湖鄉社寮角堤防提頭。。3.西湖溪:自三義鄉水尾溪至縣道119福和大橋以上，全長約35公里。。以上禁止以網具類漁具(含定置漁網漁具)採捕水產動物。,100/12/05起,府農漁字第1060055203B號
苗栗縣,大湖鄉,大窩溪,大湖鄉大寮村阿缺潭以上大窩溪及其支流共約6公里，禁止使用任何方式(含垂釣)採捕水產動植物。,109/4/21-118/12/31,府農漁字第1090074560B號
苗栗縣,泰安鄉,八卦力溪,八卦村1鄰錦卦吊橋以上八卦力溪及其支流共約8公里，禁止採捕水產動植物。,95/11/16起,府農漁字第09501528152號
苗栗縣,泰安鄉,麻必浩溪,封溪護魚起點自大安溪口（北緯24度21分39.4秒、東經120度57分27.3秒）經永安橋，北支流域至「封溪護魚終點A」（北緯24度21分13.1秒、東經120度58分47.5秒）全長約3公里，南支流域至「封溪護魚終點B」（北緯24度20分56.6秒、東經120度57分46秒）全長約2公里。。禁止使用任何方式（含垂釣）採捕水產動物。,自114年2月27日起,府農漁字第1140042444A號
苗栗縣,後龍鎮,水尾滯洪池,圳美橋、無名橋以西至海堤堤防道路以東之公共水域約14公頃，禁止以網具類漁具(含定置漁網漁具)採捕水產動物。,99/9/7起,府農漁字第09901657262號
苗栗縣,後龍鎮,北勢溪(含新港圳),自本縣後龍溪匯流口至新生橋全長約13公里。全面禁止以網具類漁具(含定置漁網漁具)採捕水產動物。,自100年12月07起,府農漁字第1000248392B號
苗栗縣,公館鄉,大坑溪,公館鄉大坑溪大安橋南起至客陶窯段之間河川及其支流長約1.2公里，禁止使用任何方式(含垂釣)採捕水產動植物。,101/5/11起,府農漁字第1010093465B號
苗栗縣,銅鑼鄉,新雞籠河支流八燕坑溪、麻園溪及九份溪,（一）八燕坑溪：自八燕坑溪注入新隆河河口（北緯24度26分10秒；東經120度48分54秒）以上全流域。。（二）麻園溪：自麻園橋（北緯24度25分43秒；東經120度48分40秒）以上全流域。。（三）九份溪：自新庄橋（北緯24度25分25秒；東經120度48分27秒）以上全流域。,110/11/01-115/10/31,府農漁字第1110043987B號
苗栗縣,大湖鄉,南湖溪,苗栗縣大湖鄉武榮村南湖溪自忠孝橋（北緯24度22分42.9秒；東經120度52分5.34秒起（包括其支流至北緯24度22分23.3秒；東經120度52分35.7秒）至樹殼寮8鄰處（北緯24度22分7.38秒；東經120度52分41.7秒及北緯24度22分0.6秒；東經120度52分34.7秒）。,113/3/7起,府農漁字第1130049585B
臺中市,和平區,觀音溪,1.和平區觀音溪自大安溪會合口起至雙崎社區水源頭地界止河段長約2.3公里(主流)。2.和平區觀音溪第一支流自與觀音溪交會處起至社區後山山腳止河段長約1.1公里。3.和平區觀音溪第二支流自與觀音溪交會處觀音溪二橋處至偶耀山壁止河段長約0.8公里。以上水域禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第10600257199號
臺中市,和平區,橫流溪,和平區橫流溪自源頭起至大甲溪匯流處止（含支流），河段長約10.5公里，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第1060025719A號
臺中市,和平區,北坑溪、中坑溪,1.和平區中坑里北坑橋至北坑溪水源頭北坑簡易自來水取水口河段長約2.5公里及其支流全部流域。2.和平區中坑里中坑橋起點至中坑溪源頭長約3.0公里及其支流全部流域。以上水域禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第10600257197號
臺中市,和平區,裡冷溪,和平區裡冷溪與大甲溪匯流處起至裡冷溪源頭處，含括裡冷溪主、支流河段長約15公里，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第1060025719B號
臺中市,和平區,雪山坑溪,和平區雪山坑溪與大安溪會流處起至雪山坑溪源頭止主、支流河段長約16公里，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第10600257198號
臺中市,和平區,竹林溪,和平區竹林溪自源頭起至東崎路交會處竹林橋止主、支流河段，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第1060025719C號
臺中市,和平區,有勝溪,龜山攔砂壩起至65果園再延伸至宜蘭縣界之有勝溪全長約13.5公里，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第1060025719F號
臺中市,和平區,東卯溪,和平區東卯溪自源頭起至與大甲溪匯流處上方500公尺處止主流河段，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第1060025719E號
臺中市,和平區,烏石坑溪河段,1.烏石坑溪自大安溪匯合口起至烏石坑七棟寮橋止，河段長約共5.8公里(主流)。。2.烏石坑溪第一支流唐山寮溪自與烏石坑溪處起止，河段長約共3.8公里。。3.烏石坑溪第二支流煙嘴溪自與交會處止，河段長約共6公里。。以上水域禁止以任何方式採捕水產動物。。,105/07/01起,府授農海行字第1050067857號
臺中市,和平區,裡都溪,裡都溪自源頭起至與參山國家風景區範圍交界處止河段長約4.8公里，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第1060025719D號
